date,T2M,RH2M,U2M,V2M,PS,site
2025-01-19,295.65207,52.4873,-0.64458114,-0.33459878,100906.586,location_301387
2025-01-20,295.38092,47.30238,-0.38915932,-0.91438407,100852.51,location_301387
2025-01-21,294.077,42.015984,0.07811207,-1.077048,100745.65,location_301387
2025-01-22,293.01065,38.52849,0.7720785,-1.3249065,100780.164,location_301387
2025-01-23,292.02185,36.245068,-0.2523996,-2.0928493,100858.47,location_301387
2025-01-24,292.6478,39.259716,-2.0897748,-1.6824998,100849.03,location_301387
2025-01-25,293.42398,38.779015,-1.1542321,-1.4185395,100863.09,location_301387
2025-01-26,293.93497,36.27363,-0.5465515,-1.0600766,100758.46,location_301387
2025-01-27,294.5276,31.751047,-0.42082763,-1.2184054,100591.76,location_301387
2025-01-28,296.25632,28.352545,-0.14867178,-0.6491825,100578.68,location_301387
